round,accuracy,loss
0,0.0985,721.866406917572
1,0.4209,505.2768505811691
2,0.493,437.21502900123596
3,0.5403,399.0395539402962
4,0.5658,380.9641464948654
5,0.5859,364.2932454943657
6,0.6092,349.73667019605637
7,0.6197,343.0745360851288
8,0.6123,347.4701103568077
9,0.6315,333.8992927670479
10,0.6375,328.53783816099167
11,0.6376,329.37824565172195
12,0.6421,328.727124273777
13,0.6466,330.49670672416687
14,0.6374,331.64753317832947
15,0.6463,334.74612951278687
16,0.6416,336.8451976776123
17,0.645,337.14713472127914
18,0.6393,346.22979974746704
19,0.639,343.29450273513794
20,0.6454,346.77990797162056
