round,accuracy,loss
0,0.1,722.0701243877411
1,0.2009,789.1568003892899
2,0.3572,688.4714905023575
3,0.3721,695.4069536924362
4,0.3807,633.6617852449417
5,0.3612,858.3092620372772
6,0.405,646.6022465229034
7,0.4078,619.1613701581955
8,0.3671,791.5686157941818
9,0.4085,627.058228135109
10,0.4174,656.9182534217834
11,0.4245,632.0217136144638
12,0.3819,803.2683194875717
13,0.4217,628.298501253128
14,0.362,896.068045258522
15,0.4071,746.5427739620209
16,0.4276,665.1972935199738
17,0.4241,662.2329639196396
18,0.3702,881.5711759328842
19,0.3816,1012.5142066478729
20,0.3902,990.6828064918518
