round,accuracy,loss
0,0.1,721.1607158184052
1,0.2654,662.2249689102173
2,0.4541,468.04190242290497
3,0.5108,421.3558717370033
4,0.524,403.796522796154
5,0.4292,509.0472583770752
6,0.5653,376.5682058930397
7,0.5818,369.7176637649536
8,0.471,468.6294894218445
9,0.5938,363.1482613682747
10,0.4609,474.11056166887283
11,0.5956,354.8353971838951
12,0.6097,346.2778618335724
13,0.4866,456.1023812890053
14,0.6098,353.5353984236717
15,0.5993,356.5061708688736
16,0.4792,458.71396440267563
17,0.6126,359.97419911623
18,0.6014,362.8728260397911
19,0.4555,470.7107189297676
20,0.4729,460.592111825943
