round,accuracy,loss
0,0.1042,721.3002419471741
1,0.1853,843.3836870193481
2,0.305,737.7556412220001
3,0.3677,702.0043761730194
4,0.3878,688.9762367010117
5,0.3551,826.9723528623581
6,0.3494,887.0645452737808
7,0.3733,844.1575359106064
8,0.3721,929.6738717556
9,0.4037,671.0645829439163
10,0.376,868.1947048902512
11,0.412,602.5021390914917
12,0.3714,846.423264503479
13,0.4105,685.994461774826
14,0.4157,594.3841042518616
15,0.378,842.2494112253189
16,0.4158,620.5505419969559
17,0.3733,833.1319202184677
18,0.4241,644.1436417102814
19,0.4267,677.6628674864769
20,0.4246,695.6715906858444
