round,accuracy,loss
0,0.1,721.1553328037262
1,0.4141,496.0836226940155
2,0.4975,434.4570220708847
3,0.5269,410.460442006588
4,0.5656,385.7977252006531
5,0.578,372.5234691500664
6,0.5933,360.12041372060776
7,0.5923,361.1454572081566
8,0.6158,345.06982308626175
9,0.6201,337.18250662088394
10,0.6176,345.07580798864365
11,0.6166,342.419985473156
12,0.631,336.9838966727257
13,0.6328,334.2113575935364
14,0.6229,343.1784610450268
15,0.6309,346.7636958658695
16,0.63,344.30213981866837
17,0.6284,351.9561745226383
18,0.6257,358.97306603193283
19,0.6257,353.8202660679817
20,0.6216,367.1338094472885
