round,accuracy,loss
0,0.1,721.399934053421
1,0.1013,720.4901075363159
2,0.1515,713.1093740463257
3,0.2688,624.1491013765335
4,0.0797,754.4366338253021
5,0.0806,838.2547001838684
6,0.353,547.0056595802307
7,0.2268,630.5463386774063
8,0.2532,627.2406767606735
9,0.2455,621.8748981952667
10,0.061,1014.5521728992462
11,0.4597,463.4996643066406
12,0.0598,1031.9803607463837
13,0.2158,648.9674507379532
14,0.5081,429.3796897530556
15,0.2683,601.6758596897125
16,0.0532,1126.069893360138
17,0.23,639.9880794286728
18,0.1952,658.8579151630402
19,0.2532,629.5982091426849
20,0.0447,1207.3655369281769
