round,accuracy,loss
0,0.1,720.9838237762451
1,0.2008,693.6557919979095
2,0.1533,705.2194663286209
3,0.2334,619.6296627521515
4,0.195,721.4846880435944
5,0.1775,639.836827993393
6,0.2153,754.3215969800949
7,0.127,1191.7765526771545
8,0.2282,652.5513861179352
9,0.2781,585.6671297550201
10,0.1984,1002.3277604579926
11,0.1438,989.6389210224152
12,0.3044,616.8171936273575
13,0.2262,784.2093194723129
14,0.1468,856.6555027961731
15,0.2261,663.4011471271515
16,0.1286,1061.2320821285248
17,0.1792,833.8182312250137
18,0.2369,633.7261025905609
19,0.1832,817.925859451294
20,0.224,1103.1168894767761
