round,accuracy,loss
0,0.1007,721.3570549488068
1,0.3262,664.1474957466125
2,0.4524,522.1616619825363
3,0.4946,450.9860723018646
4,0.5313,414.3432694673538
5,0.5302,414.67795473337173
6,0.5573,389.56336694955826
7,0.57,377.7584444284439
8,0.5753,373.60742259025574
9,0.5836,368.1518993973732
10,0.5886,365.8432084918022
11,0.5835,370.8976857662201
12,0.5857,371.22855019569397
13,0.5895,364.48319751024246
14,0.5935,365.75765985250473
15,0.593,365.43459874391556
16,0.5974,370.5629986524582
17,0.5941,371.2889686822891
18,0.5929,376.0365632176399
19,0.5904,377.96308451890945
20,0.5843,388.0034382343292
