round,accuracy,loss
0,0.0907,721.1861641407013
1,0.3195,623.4298745393753
2,0.3749,545.4065445661545
3,0.4196,519.0759221315384
4,0.462,478.49990463256836
5,0.4885,461.34097760915756
6,0.4939,454.73273408412933
7,0.5065,439.08425319194794
8,0.5155,435.96506279706955
9,0.5255,423.0026787519455
10,0.5402,414.87227296829224
11,0.5314,419.11238181591034
12,0.5395,416.41640371084213
13,0.5542,406.9649626612663
14,0.5372,431.5183290243149
15,0.5368,423.20981454849243
16,0.5349,436.08202916383743
17,0.5355,430.21385395526886
18,0.5362,441.1563931107521
19,0.5389,437.67627131938934
20,0.5195,473.87122601270676
