round,accuracy,loss
0,0.0959,721.2005574703217
1,0.1075,834.7495648860931
2,0.3378,732.1123665571213
3,0.3721,666.9444152116776
4,0.387,716.0918966531754
5,0.3361,821.5051922798157
6,0.3951,620.2650229930878
7,0.3997,678.3044703006744
8,0.3365,842.7108372449875
9,0.3503,866.0619648694992
10,0.4059,642.9678230285645
11,0.4275,601.6217316389084
12,0.4061,704.0513277053833
13,0.4229,660.9533256292343
14,0.3498,811.5715072154999
15,0.3488,832.7781541347504
16,0.4076,724.7869855165482
17,0.4236,672.8890978097916
18,0.3678,812.750729560852
19,0.4078,782.605758190155
20,0.4222,747.148734331131
